2025-12-21 22:00:43.155 | INFO | __main__:199 | Booting polymarket 15m live crypto price collector
2025-12-21 22:28:00.998 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.997941+00:00', '1766330880918', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:01.077 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.077150+00:00', '1766330880995', 'eth-updown-15m', '68847059789648248797360434023986624550260818392465789972563712058107973005754', 'Up', '0.09', '38.09', '0.1', '119.11']
2025-12-21 22:28:01.078 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.078078+00:00', '1766330880995', 'eth-updown-15m', '100291093224599265794197083151769385515713277085006403651777112458672937517026', 'Down', '0.9', '119.11', '0.91', '38.09']
2025-12-21 22:28:01.111 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.111453+00:00', '1766330881023', 'eth-updown-15m', '100291093224599265794197083151769385515713277085006403651777112458672937517026', 'Down', None, None, None, None]
2025-12-21 22:28:01.594 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.593950+00:00', '1766330881512', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.02', '94.94', '0.03', '13']
2025-12-21 22:28:01.595 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.594991+00:00', '1766330881512', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '13', '0.98', '94.94']
2025-12-21 22:28:01.622 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.622216+00:00', '1766330881541', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:01.718 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.717918+00:00', '1766330881637', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.02', '89.94', '0.03', '13']
2025-12-21 22:28:01.719 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.719232+00:00', '1766330881637', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '13', '0.98', '89.94']
2025-12-21 22:28:01.739 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.739136+00:00', '1766330881658', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '3788.39', '0.02', '10.06']
2025-12-21 22:28:01.741 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.741448+00:00', '1766330881658', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.98', '10.06', '0.99', '3788.39']
2025-12-21 22:28:01.745 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.745177+00:00', '1766330881665', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:01.765 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.765437+00:00', '1766330881685', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', None, None, None, None]
2025-12-21 22:28:01.827 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.827450+00:00', '1766330881746', 'eth-updown-15m', '68847059789648248797360434023986624550260818392465789972563712058107973005754', 'Up', '0.09', '12', '0.1', '114.11']
2025-12-21 22:28:01.828 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.828267+00:00', '1766330881746', 'eth-updown-15m', '100291093224599265794197083151769385515713277085006403651777112458672937517026', 'Down', '0.9', '114.11', '0.91', '12']
2025-12-21 22:28:01.855 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.855113+00:00', '1766330881773', 'eth-updown-15m', '100291093224599265794197083151769385515713277085006403651777112458672937517026', 'Down', None, None, None, None]
2025-12-21 22:28:01.967 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.967780+00:00', '1766330881887', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '3768.39', '0.02', '10.06']
2025-12-21 22:28:01.968 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.968833+00:00', '1766330881887', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.98', '10.06', '0.99', '3768.39']
2025-12-21 22:28:01.993 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:01.993242+00:00', '1766330881913', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', None, None, None, None]
